"","stationname","latz","lonz"
"1","Naples, Gulf of Mexico",26.1317,-81.8075
"2","Fort Myers",26.6477,-81.8712
"3","Virginia Key, Biscayne Bay",25.7314,-80.1618
"4","South Port Everglades",26.0817,-80.1167
"5","Lake Worth Pier, Atlantic Ocean",26.6128,-80.0342
"6","Port Manatee",27.6383,-82.5625
"7","St. Petersburg, Tampa Bay",27.7606,-82.6269
"8","Trident Pier, Port Canaveral",28.4158,-80.5931
"9","Cedar Key",29.135,-83.0317
