ID,City
8725110,"Naples, Gulf of Mexico, FL"
8725520,"Fort Myers, FL"
8723214,"Virginia Key, Biscayne Bay, FL"
8722956,"South Port Everglades, FL"
8722670,"Lake Worth Pier, Atlantic Ocean, FL"
8726384,"Port Manatee, FL"
8726520,"St. Petersburg, Tampa Bay, FL"
8721604,"Trident Pier, Port Canaveral, FL"
8727520,"Cedar Key, FL "
8720218,Mayport 
8728690,Apalachicola
8729840,Pensacola
